timestamp,startTime,endTime,stepcount,heartrate,sleep,meanSpeed,distance,exerciseType,liveData/0/speed,liveData/0/start_time,liveData/1/speed,liveData/1/start_time,liveData/2/speed,liveData/2/start_time,liveData/3/speed,liveData/3/start_time,liveData/4/speed,liveData/4/start_time,liveData/5/speed,liveData/5/start_time,liveData/6/speed,liveData/6/start_time,liveData/7/speed,liveData/7/start_time
1489066020631,,,8,,,,,,,,,,,,,,,,,,,,,
1489066290187,,,13,,,,,,,,,,,,,,,,,,,,,
1489067017943,,,14,,,,,,,,,,,,,,,,,,,,,
1489067108439,,,41,,,,,,,,,,,,,,,,,,,,,
1489067177433,,,15,,,,,,,,,,,,,,,,,,,,,
1489067177615,,,41,,,,,,,,,,,,,,,,,,,,,
1489067217554,,,32,,,,,,,,,,,,,,,,,,,,,
1489067222267,1489067222267,1489068099810,,,,1.5964186,1304.541,1001,1.6433749,1489067220000,1.5833334,1489067280000,1.5683806,1489067340000,1.5822368,1489067400000,1.6168814,1489067460000,1.6388888,1489067520000,1.6642513,1489067580000,1.6111112,1489067640000
1489067223586,,,106,,,,,,,,,,,,,,,,,,,,,
1489067244173,,,21,,,,,,,,,,,,,,,,,,,,,
1489067244295,,,128,,,,,,,,,,,,,,,,,,,,,
1489067280142,,,125,,,,,,,,,,,,,,,,,,,,,
1489067340311,,,125,,,,,,,,,,,,,,,,,,,,,
1489067385422,,,134,,,,,,,,,,,,,,,,,,,,,
1489067385439,,,123,,,,,,,,,,,,,,,,,,,,,
1489067400261,,,91,,,,,,,,,,,,,,,,,,,,,
1489067407459,,,104,,,,,,,,,,,,,,,,,,,,,
1489067460493,,,126,,,,,,,,,,,,,,,,,,,,,
1489067510123,,,122,,,,,,,,,,,,,,,,,,,,,
1489067524721,,,125,,,,,,,,,,,,,,,,,,,,,
1489067612926,,,121,,,,,,,,,,,,,,,,,,,,,
1489067612940,,,123,,,,,,,,,,,,,,,,,,,,,
1489067700169,,,125,,,,,,,,,,,,,,,,,,,,,
1489067700233,,,123,,,,,,,,,,,,,,,,,,,,,
1489067700271,,,123,,,,,,,,,,,,,,,,,,,,,
1489067700300,,,108,,,,,,,,,,,,,,,,,,,,,
1489067744067,,,98,,,,,,,,,,,,,,,,,,,,,
1489067822370,,,122,,,,,,,,,,,,,,,,,,,,,
1489067822381,,,121,,,,,,,,,,,,,,,,,,,,,
1489068081499,,,121,,,,,,,,,,,,,,,,,,,,,
1489068081528,,,120,,,,,,,,,,,,,,,,,,,,,
1489068081546,,,117,,,,,,,,,,,,,,,,,,,,,
1489068081564,,,61,,,,,,,,,,,,,,,,,,,,,
1489068152844,,,124,,,,,,,,,,,,,,,,,,,,,
1489068152911,,,125,,,,,,,,,,,,,,,,,,,,,
1489068152987,,,125,,,,,,,,,,,,,,,,,,,,,
1489068153119,,,123,,,,,,,,,,,,,,,,,,,,,
1489068153227,,,120,,,,,,,,,,,,,,,,,,,,,
1489068153305,,,80,,,,,,,,,,,,,,,,,,,,,
1489068153367,,,3,,,,,,,,,,,,,,,,,,,,,
1489068278742,,,100,,,,,,,,,,,,,,,,,,,,,
1489068278906,,,48,,,,,,,,,,,,,,,,,,,,,
1489068515607,,,7,,,,,,,,,,,,,,,,,,,,,
1489068631783,,,54,,,,,,,,,,,,,,,,,,,,,
1489068631923,,,33,,,,,,,,,,,,,,,,,,,,,
1489068749467,,,80,,,,,,,,,,,,,,,,,,,,,
1489068764796,,,44,,,,,,,,,,,,,,,,,,,,,
1489068787543,,,44,,,,,,,,,,,,,,,,,,,,,
1489068805799,,,39,,,,,,,,,,,,,,,,,,,,,
1489068841661,,,108,,,,,,,,,,,,,,,,,,,,,
1489068900275,,,108,,,,,,,,,,,,,,,,,,,,,
1489068941764,,,25,,,,,,,,,,,,,,,,,,,,,
1489068971702,,,36,,,,,,,,,,,,,,,,,,,,,
1489069002414,,,69,,,,,,,,,,,,,,,,,,,,,
1489069029542,,,9,,,,,,,,,,,,,,,,,,,,,
1489069276581,,,,76,,,,,,,,,,,,,,,,,,,,
1489070677450,,,69,,,,,,,,,,,,,,,,,,,,,
1489070677743,,,,76,,,,,,,,,,,,,,,,,,,,
1489070724832,,,47,,,,,,,,,,,,,,,,,,,,,
1489070724930,,,20,,,,,,,,,,,,,,,,,,,,,
1489070782397,,,19,,,,,,,,,,,,,,,,,,,,,
1489070857188,,,9,,,,,,,,,,,,,,,,,,,,,
1489070857251,,,18,,,,,,,,,,,,,,,,,,,,,
1489070911698,,,8,,,,,,,,,,,,,,,,,,,,,
1489070945552,,,20,,,,,,,,,,,,,,,,,,,,,
1489071101270,,,49,,,,,,,,,,,,,,,,,,,,,
1489071218613,,,45,,,,,,,,,,,,,,,,,,,,,
1489071218626,,,36,,,,,,,,,,,,,,,,,,,,,
1489071234551,,,28,,,,,,,,,,,,,,,,,,,,,
1489071265682,,,27,,,,,,,,,,,,,,,,,,,,,
1489071295141,,,18,,,,,,,,,,,,,,,,,,,,,
1489071295246,,,34,,,,,,,,,,,,,,,,,,,,,
1489071756428,,,,77,,,,,,,,,,,,,,,,,,,,
1489071860767,,,6,,,,,,,,,,,,,,,,,,,,,
1489071997429,,,21,,,,,,,,,,,,,,,,,,,,,
1489072101635,,,43,,,,,,,,,,,,,,,,,,,,,
1489072330160,,,54,,,,,,,,,,,,,,,,,,,,,
1489072382096,,,10,,,,,,,,,,,,,,,,,,,,,
1489072625453,,,41,,,,,,,,,,,,,,,,,,,,,
1489072701865,,,71,,,,,,,,,,,,,,,,,,,,,
1489072817534,,,42,,,,,,,,,,,,,,,,,,,,,
1489072835462,,,36,,,,,,,,,,,,,,,,,,,,,
1489072835604,,,6,,,,,,,,,,,,,,,,,,,,,
1489072835671,,,75,,,,,,,,,,,,,,,,,,,,,
1489072835908,,,75,,,,,,,,,,,,,,,,,,,,,
1489072836169,,,14,,,,,,,,,,,,,,,,,,,,,
1489073163553,,,20,,,,,,,,,,,,,,,,,,,,,
1489073163569,,,7,,,,,,,,,,,,,,,,,,,,,
1489073163589,,,21,,,,,,,,,,,,,,,,,,,,,
1489073205428,,,73,,,,,,,,,,,,,,,,,,,,,
1489073243552,,,23,,,,,,,,,,,,,,,,,,,,,
