stepcount,timestamp
88,1490575038931
124,1490575091354
115,1490575158580
117,1490575213164
95,1490575318053
38,1490575470077
113,1490575470293
45,1490575470488
8,1490575555770
24,1490575579961
1,1490575620379
27,1490563794947
44,1490564403064
24,1490564403090
78,1490564495129
37,1490564588171
32,1490565156264
20,1490565300737
17,1490565772249
18,1490566117454
73,1490566117468
52,1490566117479
18,1490566741413
51,1490566741626
105,1490566741644
5,1490566835690
16,1490566875392
15,1490567244724
20,1490567275885
1,1490567700771
77,1490568065914
115,1490568065944
54,1490568065994
19,1490568066041
74,1490568066066
63,1490568066079
58,1490568133139
22,1490568133167
52,1490568234099
19,1490568752610
19,1490568752624
26,1490568900770
63,1490569389223
72,1490569389236
67,1490569468128
125,1490569711110
117,1490569711126
95,1490569711183
85,1490569711224
99,1490569891003
112,1490569891017
102,1490569891032
36,1490570099783
40,1490570178973
27,1490571133255
16,1490571299761
21,1490573210945
47,1490573271100
35,1490573291367
16,1490573698764
27,1490573698782
79,1490573698794
113,1490573698805
113,1490573698817
116,1490573698829
116,1490574381825
59,1490574381967
113,1490574381999
86,1490574382020
116,1490574382041
116,1490574382068
117,1490574382084
114,1490574382106
111,1490574382172
113,1490574382210
114,1490574382223
96,1490574382235
17,1490574486045
117,1490574486063
114,1490574656006
112,1490574656043
112,1490574660204
112,1490574900787
111,1490574900800
112,1490574900812
119,1490575026150
113,1490575026262
71,1490575026292
109,1490575086502
114,1490575444042
112,1490575444092
86,1490575444105
64,1490575444120
114,1490575444133
30,1490575444145
42,1490575503418
22,1490577240940
73,1490578906089
33,1490579699796
9,1490595968866
7,1490597312313
22,1490597700589
19,1490599447082
28,1490599447107
34,1490599447126
44,1490610484798
21,1490610484827
47,1490617177838
15,1490618100920
35,1490618343666
23,1490618343787
67,1490618343835
16,1490618343856
27,1490618343873
28,1490619194823
28,1490619195081
47,1490619300332
27,1490619300490
91,1490619557378
129,1490619557721
129,1490619557885
127,1490619558079
130,1490619922564
128,1490619922730
125,1490619922866
124,1490619923012
125,1490619923164
129,1490619923360
126,1490620034469
127,1490620034590
126,1490620115480
96,1490620207067
33,1490620207331
43,1490620964240
74,1490620964478
